       238
   0.14542150E+10   0.29810716E+01   0.94038541E+11   0.40960468E+01   0.28229966E-01
   0.14053716E+10   0.30738027E+01   0.87473217E+11   0.40856082E+01   0.26940463E-01
   0.13581355E+10   0.31686937E+01   0.81255599E+11   0.40763904E+01   0.25697552E-01
   0.13124571E+10   0.32657950E+01   0.75375370E+11   0.40681511E+01   0.24500077E-01
   0.12682879E+10   0.33651582E+01   0.69823143E+11   0.40608493E+01   0.23347016E-01
   0.12255805E+10   0.34668358E+01   0.64588615E+11   0.40543654E+01   0.22237286E-01
   0.11842891E+10   0.35708817E+01   0.59660221E+11   0.40485849E+01   0.21169687E-01
   0.11443688E+10   0.36773513E+01   0.55028145E+11   0.40434831E+01   0.20143248E-01
   0.11057760E+10   0.37863008E+01   0.50680477E+11   0.40389095E+01   0.19156773E-01
   0.10684683E+10   0.38977880E+01   0.46606811E+11   0.40348667E+01   0.18209269E-01
   0.10324045E+10   0.40118722E+01   0.42795528E+11   0.40312702E+01   0.17299606E-01
   0.99754465E+09   0.41286137E+01   0.39235443E+11   0.40280603E+01   0.16426718E-01
   0.96384977E+09   0.42480744E+01   0.35915543E+11   0.40252211E+01   0.15589574E-01
   0.93128212E+09   0.43703178E+01   0.32824639E+11   0.40226734E+01   0.14787117E-01
   0.89980506E+09   0.44954085E+01   0.29951682E+11   0.40204103E+01   0.14018310E-01
   0.86938302E+09   0.46234130E+01   0.27285772E+11   0.40183991E+01   0.13282129E-01
   0.83998151E+09   0.47543991E+01   0.24816201E+11   0.40165891E+01   0.12577568E-01
   0.81156708E+09   0.48884363E+01   0.22532465E+11   0.40149819E+01   0.11903636E-01
   0.78410729E+09   0.50255956E+01   0.20424276E+11   0.40135443E+01   0.11259358E-01
   0.75757071E+09   0.51659498E+01   0.18481384E+11   0.40122521E+01   0.10643732E-01
   0.73192689E+09   0.53095732E+01   0.16694229E+11   0.40111013E+01   0.10055853E-01
   0.70714630E+09   0.54565420E+01   0.15053221E+11   0.40100667E+01   0.94947706E-02
   0.68320035E+09   0.56069342E+01   0.13549175E+11   0.40091359E+01   0.89595708E-02
   0.66006137E+09   0.57608295E+01   0.12173182E+11   0.40083046E+01   0.84493469E-02
   0.63770254E+09   0.59183094E+01   0.10916770E+11   0.40075545E+01   0.79632331E-02
   0.61609790E+09   0.60794575E+01   0.97717023E+10   0.40068780E+01   0.75003581E-02
   0.59522232E+09   0.62443593E+01   0.87300759E+10   0.40062719E+01   0.70598623E-02
   0.57505149E+09   0.64131021E+01   0.77844483E+10   0.40057241E+01   0.66409321E-02
   0.55556186E+09   0.65857754E+01   0.69276683E+10   0.40052278E+01   0.62427561E-02
   0.53673066E+09   0.67624708E+01   0.61529331E+10   0.40047817E+01   0.58645382E-02
   0.51853586E+09   0.69432820E+01   0.54538089E+10   0.40043786E+01   0.55055042E-02
   0.50095613E+09   0.71283048E+01   0.48242413E+10   0.40040110E+01   0.51649079E-02
   0.48397085E+09   0.73176373E+01   0.42584967E+10   0.40036797E+01   0.48420132E-02
   0.46756006E+09   0.75113800E+01   0.37511511E+10   0.40033805E+01   0.45360895E-02
   0.45170449E+09   0.77096355E+01   0.32971925E+10   0.40031061E+01   0.42464544E-02
   0.43638546E+09   0.79125089E+01   0.28918716E+10   0.40028577E+01   0.39724193E-02
   0.42158493E+09   0.81201079E+01   0.25307748E+10   0.40026327E+01   0.37133210E-02
   0.40728546E+09   0.83325425E+01   0.22098096E+10   0.40024274E+01   0.34685221E-02
   0.39347016E+09   0.85499254E+01   0.19251641E+10   0.40022393E+01   0.32373971E-02
   0.38012273E+09   0.87723717E+01   0.16733113E+10   0.40020686E+01   0.30193392E-02
   0.36722740E+09   0.89999995E+01   0.14509976E+10   0.40019134E+01   0.28137617E-02
   0.35476893E+09   0.92329294E+01   0.12552226E+10   0.40017703E+01   0.26200925E-02
   0.34273256E+09   0.94712849E+01   0.10832336E+10   0.40016396E+01   0.24377787E-02
   0.33110406E+09   0.97151925E+01   0.93251911E+09   0.40015204E+01   0.22662926E-02
   0.31986965E+09   0.99647814E+01   0.80076622E+09   0.40014116E+01   0.21051085E-02
